revision,type,path
1550046,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/splash_icon.png
1550046,delete,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/splash_title.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/view_all.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/wizard_image_0.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/wizard_image_1.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi/wizard_image_2.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-ldpi-v11/ic_notification.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/btn_play.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/button_bg.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/button_bg_disabled.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/button_bg_highlight.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/button_bg_pressed.9.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/close_alert_icon.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/grphc_pcloud_logo.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/grphc_powered_sncr.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/ic_launcher.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/ic_mini_player_close.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/ic_nav_contacts.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/ic_nav_contacts_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/ic_nav_documents.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/ic_nav_documents_activated.png
1550046,add,/cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-sfr/res/drawable-mdpi/ic_nav_files.png
